[2025-04-09 22:56:40.662] [PSS] [info] ***********  Log Begin **********
[2025-04-09 22:56:40.662] [PSS] [info] process id= 936
[2025-04-09 22:56:40.662] [PSS] [debug] [936|16324]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x1a1f1857ac0, this= 0x1a12c8fb060
[2025-04-09 22:56:40.663] [PSS] [error] [936|16324]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x1a12c8fb060
[2025-04-09 22:56:40.663] [PSS] [info] [936|16324]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= lG4McVkC8d6Ha8VW, this= 0x1a12c8fb060
[2025-04-09 22:56:40.663] [PSS] [info] [936|16324]streaming_client_impl.cpp:25 ConnectToService: client_id= lG4McVkC8d6Ha8VW, name= 3D Engine, desp= StreamingSceneRender, this= 0x1a0b5205e30
[2025-04-09 22:56:40.663] [PSS] [debug] [936|15696]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1a0b5205e30
[2025-04-09 22:56:40.663] [PSS] [debug] [936|15696]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x1a0d957da00
[2025-04-09 22:56:40.664] [PSS] [info] [936|15696]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1a0d957da00
[2025-04-09 22:56:42.705] [PSS] [info] [936|19992]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x1a0b5205e30
[2025-04-09 22:56:42.705] [PSS] [error] [936|19992]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x1a0b5205e30
[2025-04-09 22:56:42.705] [PSS] [error] [936|15696]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x1a12c8fb060
[2025-04-09 22:56:42.705] [PSS] [error] [936|19992]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x1a0d957da00
[2025-04-10 09:46:05.183] [PSS] [info] ***********  Log Begin **********
[2025-04-10 09:46:05.183] [PSS] [info] process id= 16300
[2025-04-10 09:46:05.183] [PSS] [debug] [16300|14596]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x208b72b0b40, this= 0x2089448c6b0
[2025-04-10 09:46:05.183] [PSS] [error] [16300|14596]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x2089448c6b0
[2025-04-10 09:46:05.183] [PSS] [info] [16300|14596]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= 611eJto93489SqO8, this= 0x2089448c6b0
[2025-04-10 09:46:05.183] [PSS] [info] [16300|14596]streaming_client_impl.cpp:25 ConnectToService: client_id= 611eJto93489SqO8, name= 3D Engine, desp= StreamingSceneRender, this= 0x20888ee0310
[2025-04-10 09:46:05.183] [PSS] [debug] [16300|12508]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x20888ee0310
[2025-04-10 09:46:05.184] [PSS] [debug] [16300|12508]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x207f6d49c60
[2025-04-10 09:46:05.184] [PSS] [info] [16300|12508]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x207f6d49c60
[2025-04-10 09:46:07.233] [PSS] [info] [16300|17380]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x20888ee0310
[2025-04-10 09:46:07.233] [PSS] [error] [16300|17380]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x20888ee0310
[2025-04-10 09:46:07.233] [PSS] [error] [16300|12508]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x2089448c6b0
[2025-04-10 09:46:07.233] [PSS] [error] [16300|17380]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x207f6d49c60
[2025-04-10 11:09:17.996] [PSS] [debug] [16300|14596]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x207f6f6d190, this= 0x207b2017490
[2025-04-10 11:09:18.001] [PSS] [error] [16300|14596]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x207b2017490
[2025-04-10 11:09:18.001] [PSS] [info] [16300|14596]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= 3C1pIGufDbvt2t6Y, this= 0x207b2017490
[2025-04-10 11:09:18.001] [PSS] [info] [16300|14596]streaming_client_impl.cpp:25 ConnectToService: client_id= 3C1pIGufDbvt2t6Y, name= 3D Engine, desp= StreamingSceneRender, this= 0x208b747e9b0
[2025-04-10 11:09:18.001] [PSS] [debug] [16300|11048]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x208b747e9b0
[2025-04-10 11:09:18.001] [PSS] [debug] [16300|11048]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x207f6d4a6e0
[2025-04-10 11:09:18.001] [PSS] [info] [16300|11048]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x207f6d4a6e0
[2025-04-10 11:09:20.027] [PSS] [info] [16300|24284]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x208b747e9b0
[2025-04-10 11:09:20.027] [PSS] [error] [16300|24284]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x208b747e9b0
[2025-04-10 11:09:20.027] [PSS] [error] [16300|24284]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x207f6d4a6e0
[2025-04-10 11:09:20.027] [PSS] [error] [16300|11048]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x207b2017490
[2025-04-10 11:22:35.159] [PSS] [debug] [16300|14596]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x2089410c0e0, this= 0x208685669c0
[2025-04-10 11:22:35.160] [PSS] [error] [16300|14596]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x208685669c0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|14596]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= kiMeqQmvFBFtHtzo, this= 0x208685669c0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|14596]streaming_client_impl.cpp:25 ConnectToService: client_id= kiMeqQmvFBFtHtzo, name= 3D Engine, desp= StreamingSceneRender, this= 0x208cd823910
[2025-04-10 11:22:35.160] [PSS] [debug] [16300|28388]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x208cd823910
[2025-04-10 11:22:35.160] [PSS] [debug] [16300|28388]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x207f6d4b6a0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|28388]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x207f6d4b6a0
[2025-04-10 11:22:37.211] [PSS] [info] [16300|19544]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x208cd823910
[2025-04-10 11:22:37.211] [PSS] [error] [16300|19544]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x208cd823910
[2025-04-10 11:22:37.211] [PSS] [error] [16300|28388]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x208685669c0
[2025-04-10 11:22:37.211] [PSS] [error] [16300|19544]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x207f6d4b6a0
